Data from roomtemp_18.6_mrosen_r2_290 nm__0__14-33-30-342.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
14:33:30.338	1729892010338	0.02676
14:33:30.358	1729892010358	0.02836
14:33:30.377	1729892010377	0.0223
14:33:30.396	1729892010396	0.02791
14:33:30.416	1729892010416	0.03001
14:33:30.436	1729892010436	0.02872
14:33:30.455	1729892010455	0.02295
14:33:30.474	1729892010474	0.02605
14:33:30.494	1729892010494	0.02077
14:33:30.513	1729892010513	0.0302
14:33:30.532	1729892010532	0.0341
14:33:30.552	1729892010552	0.02649
14:33:30.591	1729892010591	0.026
14:33:30.610	1729892010610	0.026
14:33:30.630	1729892010630	0.02644
14:33:30.649	1729892010649	0.02846
14:33:30.669	1729892010669	0.02176
14:33:30.688	1729892010688	0.03859
14:33:30.708	1729892010708	0.02576
14:33:30.708	1729892010708	0.02576
14:33:30.740	1729892010740	0.02965
14:33:30.766	1729892010766	0.03155
14:33:30.786	1729892010786	0.0224
14:33:30.805	1729892010805	0.01954
14:33:30.824	1729892010824	0.02775
14:33:30.844	1729892010844	0.02041
14:33:30.863	1729892010863	0.02665
14:33:30.883	1729892010883	0.03628
14:33:30.902	1729892010902	0.02529
14:33:30.922	1729892010922	0.02194
14:33:30.941	1729892010941	0.03452
14:33:30.960	1729892010960	0.04059
14:33:30.980	1729892010980	0.02896
14:33:30.999	1729892010999	0.02615
14:33:31.019	1729892011019	0.03647
14:33:31.038	1729892011038	0.02762
14:33:31.058	1729892011058	0.02822
14:33:31.077	1729892011077	0.02574
14:33:31.097	1729892011097	0.03091
14:33:31.116	1729892011116	0.02899
14:33:31.136	1729892011136	0.02983
14:33:31.175	1729892011175	0.02626
14:33:31.194	1729892011194	0.03452
14:33:31.214	1729892011214	0.02925
14:33:31.233	1729892011233	0.02261
14:33:31.252	1729892011252	0.02409
14:33:31.272	1729892011272	0.03253
14:33:31.291	1729892011291	0.03033
14:33:31.311	1729892011311	0.03637
14:33:31.331	1729892011331	0.03618
14:33:31.350	1729892011350	0.02875
14:33:31.369	1729892011369	0.03859
14:33:31.389	1729892011389	0.02647
14:33:31.408	1729892011408	0.0401
14:33:31.427	1729892011427	0.03004
14:33:31.447	1729892011447	0.03458
14:33:31.466	1729892011466	0.03083
14:33:31.486	1729892011486	0.03575
14:33:31.505	1729892011505	0.03516
14:33:31.525	1729892011525	0.02311
14:33:31.544	1729892011544	0.03962
14:33:31.564	1729892011564	0.03224
14:33:31.564	1729892011564	0.03224
14:33:31.596	1729892011596	0.02686
14:33:31.622	1729892011622	0.02683
14:33:31.641	1729892011641	0.02872
14:33:31.661	1729892011661	0.02836
14:33:31.680	1729892011680	0.0287
14:33:31.700	1729892011700	0.02851
14:33:31.739	1729892011739	0.0267
14:33:31.758	1729892011758	0.02681
14:33:31.777	1729892011777	0.02978
14:33:31.797	1729892011797	0.02605
14:33:31.816	1729892011816	0.03282
14:33:31.836	1729892011836	0.02933
14:33:31.856	1729892011856	0.02833
14:33:31.875	1729892011875	0.02912
14:33:31.894	1729892011894	0.03399
14:33:31.914	1729892011914	0.02428
14:33:31.933	1729892011933	0.0329
14:33:31.953	1729892011953	0.03506
14:33:31.972	1729892011972	0.02407
14:33:31.992	1729892011992	0.03224
14:33:32.011	1729892012011	0.02965
14:33:32.030	1729892012030	0.0337
14:33:32.050	1729892012050	0.0342
14:33:32.069	1729892012069	0.0297
14:33:32.089	1729892012089	0.02841
