Data from elevtemp28_1_mrosen_r2_290 nm__0__15-45-53-550.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
15:45:53.530	1729723553530	-0.03191
15:45:53.571	1729723553571	-0.03171
15:45:53.592	1729723553592	-0.04083
15:45:53.612	1729723553612	-0.02587
15:45:53.633	1729723553633	-0.02933
15:45:53.653	1729723553653	-0.02686
15:45:53.673	1729723553673	-0.02366
15:45:53.694	1729723553694	-0.02533
15:45:53.714	1729723553714	-0.04068
15:45:53.735	1729723553735	-0.02751
15:45:53.755	1729723553755	-0.02607
15:45:53.776	1729723553776	-0.02807
15:45:53.796	1729723553796	-0.03161
15:45:53.817	1729723553817	-0.03013
15:45:53.837	1729723553837	-0.03049
15:45:53.859	1729723553859	-0.02381
15:45:53.878	1729723553878	-0.02708
15:45:53.898	1729723553898	-0.0288
15:45:53.919	1729723553919	-0.03219
15:45:53.940	1729723553940	-0.03515
15:45:53.960	1729723553960	-0.02938
15:45:53.980	1729723553980	-0.02516
15:45:54.001	1729723554001	-0.03106
15:45:54.022	1729723554022	-0.02668
15:45:54.042	1729723554042	-0.03011
15:45:54.063	1729723554063	-0.02115
15:45:54.083	1729723554083	-0.03209
15:45:54.104	1729723554104	-0.02632
15:45:54.124	1729723554124	-0.02217
15:45:54.144	1729723554144	-0.02903
15:45:54.167	1729723554167	-0.02794
15:45:54.185	1729723554185	-0.03266
15:45:54.206	1729723554206	-0.03619
15:45:54.226	1729723554226	-0.03364
15:45:54.247	1729723554247	-0.03304
15:45:54.267	1729723554267	-0.02993
15:45:54.288	1729723554288	-0.043
15:45:54.308	1729723554308	-0.02998
15:45:54.329	1729723554329	-0.03286
15:45:54.349	1729723554349	-0.0382
15:45:54.370	1729723554370	-0.03081
15:45:54.390	1729723554390	-0.02963
15:45:54.410	1729723554410	-0.03146
15:45:54.431	1729723554431	-0.0293
15:45:54.452	1729723554452	-0.03201
15:45:54.472	1729723554472	-0.02686
15:45:54.492	1729723554492	-0.02202
15:45:54.513	1729723554513	-0.02184
15:45:54.533	1729723554533	-0.02683
15:45:54.594	1729723554594	-0.038
15:45:54.615	1729723554615	-0.02925
15:45:54.636	1729723554636	-0.02703
15:45:54.656	1729723554656	-0.02988
15:45:54.677	1729723554677	-0.03041
15:45:54.697	1729723554697	-0.02645
15:45:54.717	1729723554717	-0.04029
15:45:54.717	1729723554717	-0.04029
15:45:54.738	1729723554738	-0.03289
15:45:54.759	1729723554759	-0.03812
15:45:54.800	1729723554800	-0.02945
15:45:54.820	1729723554820	-0.03099
15:45:54.840	1729723554840	-0.02935
15:45:54.840	1729723554840	-0.02935
15:45:54.861	1729723554861	-0.03341
15:45:54.881	1729723554881	-0.02878
15:45:54.902	1729723554902	-0.02718
15:45:54.922	1729723554922	-0.02971
15:45:54.945	1729723554945	-0.03738
15:45:54.963	1729723554963	-0.03797
15:45:54.984	1729723554984	-0.02419
15:45:55.004	1729723555004	-0.02366
15:45:55.025	1729723555025	-0.02925
15:45:55.045	1729723555045	-0.03391
15:45:55.066	1729723555066	-0.03577
15:45:55.086	1729723555086	-0.02777
15:45:55.106	1729723555106	-0.03044
15:45:55.127	1729723555127	-0.02511
15:45:55.148	1729723555148	-0.03056
15:45:55.168	1729723555168	-0.03161
15:45:55.188	1729723555188	-0.02971
15:45:55.209	1729723555209	-0.02943
15:45:55.229	1729723555229	-0.02478
15:45:55.249	1729723555249	-0.03191
15:45:55.271	1729723555271	-0.02991
15:45:55.291	1729723555291	-0.02809
15:45:55.311	1729723555311	-0.03775
15:45:55.332	1729723555332	-0.02918
15:45:55.352	1729723555352	-0.02958
15:45:55.373	1729723555373	-0.02988
15:45:55.393	1729723555393	-0.03842
15:45:55.414	1729723555414	-0.03331
15:45:55.434	1729723555434	-0.03339
15:45:55.455	1729723555455	-0.03396
15:45:55.475	1729723555475	-0.02235
15:45:55.496	1729723555496	-0.02253
15:45:55.516	1729723555516	-0.03171
15:45:55.537	1729723555537	-0.02817
15:45:55.559	1729723555559	-0.02648
15:45:55.578	1729723555578	-0.02998
15:45:55.598	1729723555598	-0.02643
15:45:55.619	1729723555619	-0.03321
15:45:55.639	1729723555639	-0.03154
15:45:55.659	1729723555659	-0.03286
15:45:55.680	1729723555680	-0.03261
15:45:55.701	1729723555701	-0.0285
15:45:55.721	1729723555721	-0.02777
15:45:55.741	1729723555741	-0.03763
15:45:55.762	1729723555762	-0.02968
15:45:55.783	1729723555783	-0.0285
15:45:55.803	1729723555803	-0.02312
15:45:55.823	1729723555823	-0.03309
15:45:55.844	1729723555844	-0.02746
15:45:55.864	1729723555864	-0.03059
15:45:55.885	1729723555885	-0.02416
15:45:55.905	1729723555905	-0.02779
15:45:55.926	1729723555926	-0.03369
15:45:55.946	1729723555946	-0.03211
15:45:55.967	1729723555967	-0.03229
15:45:55.990	1729723555990	-0.02348
15:45:56.008	1729723556008	-0.03634
15:45:56.028	1729723556028	-0.02378
15:45:56.048	1729723556048	-0.02378
15:45:56.069	1729723556069	-0.02092
15:45:56.090	1729723556090	-0.03778
15:45:56.110	1729723556110	-0.03311
15:45:56.131	1729723556131	-0.02759
15:45:56.151	1729723556151	-0.03106
15:45:56.171	1729723556171	-0.03389
15:45:56.192	1729723556192	-0.02809
15:45:56.212	1729723556212	-0.0233
15:45:56.233	1729723556233	-0.03284
15:45:56.253	1729723556253	-0.02302
15:45:56.274	1729723556274	-0.03565
15:45:56.294	1729723556294	-0.03381
15:45:56.315	1729723556315	-0.02928
15:45:56.335	1729723556335	-0.03196
15:45:56.356	1729723556356	-0.03366
15:45:56.376	1729723556376	-0.03286
15:45:56.397	1729723556397	-0.02541
15:45:56.417	1729723556417	-0.03156
15:45:56.438	1729723556438	-0.02627
15:45:56.458	1729723556458	-0.0349
15:45:56.479	1729723556479	-0.03351
15:45:56.499	1729723556499	-0.02872
15:45:56.519	1729723556519	-0.03286
15:45:56.540	1729723556540	-0.02988
15:45:56.561	1729723556561	-0.03049
15:45:56.581	1729723556581	-0.02809
15:45:56.601	1729723556601	-0.03239
15:45:56.621	1729723556621	-0.02681
15:45:56.642	1729723556642	-0.02867
15:45:56.663	1729723556663	-0.02711
15:45:56.683	1729723556683	-0.03114
15:45:56.706	1729723556706	-0.02751
15:45:56.725	1729723556725	-0.02749
15:45:56.745	1729723556745	-0.0287
15:45:56.766	1729723556766	-0.03051
15:45:56.786	1729723556786	-0.03011
15:45:56.806	1729723556806	-0.03426
15:45:56.827	1729723556827	-0.03396
15:45:56.847	1729723556847	-0.03181
15:45:56.870	1729723556870	-0.03001
15:45:56.888	1729723556888	-0.02521
15:45:56.909	1729723556909	-0.03758
15:45:56.929	1729723556929	-0.03096
15:45:56.950	1729723556950	-0.02663
15:45:56.970	1729723556970	-0.03236
15:45:56.991	1729723556991	-0.03344
15:45:57.011	1729723557011	-0.03056
15:45:57.032	1729723557032	-0.02935
15:45:57.052	1729723557052	-0.02888
15:45:57.072	1729723557072	-0.02589
15:45:57.093	1729723557093	-0.0262
15:45:57.113	1729723557113	-0.02696
15:45:57.134	1729723557134	-0.03226
15:45:57.154	1729723557154	-0.03304
15:45:57.177	1729723557177	-0.02399
15:45:57.195	1729723557195	-0.03008
15:45:57.216	1729723557216	-0.03186
15:45:57.236	1729723557236	-0.03329
15:45:57.257	1729723557257	-0.02759
15:45:57.277	1729723557277	-0.03276
15:45:57.298	1729723557298	-0.03271
15:45:57.318	1729723557318	-0.03151
15:45:57.342	1729723557342	-0.02784
