x,y
5900.0000000000,0.0386473790
5899.5000000000,0.0380785109
5899.0000000000,0.0381301999
5898.5000000000,0.0378201446
5898.0000000000,0.0389579392
5897.5000000000,0.0383370084
5897.0000000000,0.0375619095
5896.5000000000,0.0389061660
5896.0000000000,0.0386473790
5895.5000000000,0.0386473790
5895.0000000000,0.0387508780
5894.5000000000,0.0382852984
5894.0000000000,0.0390097176
5893.5000000000,0.0388026354
5893.0000000000,0.0392168842
5892.5000000000,0.0395796288
5892.0000000000,0.0407213704
5891.5000000000,0.0410331998
5891.0000000000,0.0405655274
5890.5000000000,0.0416053840
5890.0000000000,0.0407733287
5889.5000000000,0.0399426323
5889.0000000000,0.0405135903
5888.5000000000,0.0395796288
5888.0000000000,0.0404097321
5887.5000000000,0.0396314706
5887.0000000000,0.0407213704
5886.5000000000,0.0407733287
5886.0000000000,0.0409292354
5885.5000000000,0.0411891862
5885.0000000000,0.0404616585
5884.5000000000,0.0394241351
5884.0000000000,0.0395796288
5883.5000000000,0.0393723145
5883.0000000000,0.0394241351
5882.5000000000,0.0385956375
5882.0000000000,0.0386473790
5881.5000000000,0.0388543980
5881.0000000000,0.0391650846
5880.5000000000,0.0390097176
5880.0000000000,0.0378718073
5879.5000000000,0.0385439011
5879.0000000000,0.0376651878
5878.5000000000,0.0375619095
5878.0000000000,0.0373038054
5877.5000000000,0.0384921701
5877.0000000000,0.0384921701
5876.5000000000,0.0380268271
5876.0000000000,0.0380268271
5875.5000000000,0.0387508780
5875.0000000000,0.0383887237
5874.5000000000,0.0386991259
5874.0000000000,0.0386473790
5873.5000000000,0.0373554157
5873.0000000000,0.0379751486
5872.5000000000,0.0384921701
5872.0000000000,0.0378718073
5871.5000000000,0.0375619095
5871.0000000000,0.0379751486
5870.5000000000,0.0379751486
5870.0000000000,0.0388026354
5869.5000000000,0.0380268271
5869.0000000000,0.0382335936
5868.5000000000,0.0381818941
5868.0000000000,0.0382335936
5867.5000000000,0.0377684871
5867.0000000000,0.0379751486
5866.5000000000,0.0379234753
5866.0000000000,0.0385956375
5865.5000000000,0.0385956375
5865.0000000000,0.0374586521
5864.5000000000,0.0379234753
5864.0000000000,0.0375619095
5863.5000000000,0.0370974164
5863.0000000000,0.0377168348
5862.5000000000,0.0381818941
5862.0000000000,0.0374586521
5861.5000000000,0.0375102782
5861.0000000000,0.0377168348
5860.5000000000,0.0388543980
5860.0000000000,0.0387508780
5859.5000000000,0.0390615013
5859.0000000000,0.0389061660
5858.5000000000,0.0380785109
5858.0000000000,0.0387508780
5857.5000000000,0.0381301999
5857.0000000000,0.0384921701
5856.5000000000,0.0393204991
5856.0000000000,0.0386991259
5855.5000000000,0.0395277923
5855.0000000000,0.0390615013
5854.5000000000,0.0385439011
5854.0000000000,0.0396833176
5853.5000000000,0.0402539845
5853.0000000000,0.0404616585
5852.5000000000,0.0412411923
5852.0000000000,0.0407733287
5851.5000000000,0.0403578109
5851.0000000000,0.0398388906
5850.5000000000,0.0397351700
5850.0000000000,0.0395796288
5849.5000000000,0.0404616585
5849.0000000000,0.0401501792
5848.5000000000,0.0399426323
5848.0000000000,0.0406174698
5847.5000000000,0.0404616585
5847.0000000000,0.0404616585
5846.5000000000,0.0390615013
5846.0000000000,0.0395796288
5845.5000000000,0.0401501792
5845.0000000000,0.0391132903
5844.5000000000,0.0388543980
5844.0000000000,0.0382852984
5843.5000000000,0.0386991259
5843.0000000000,0.0384921701
5842.5000000000,0.0386991259
5842.0000000000,0.0379234753
5841.5000000000,0.0377684871
5841.0000000000,0.0384921701
5840.5000000000,0.0381818941
5840.0000000000,0.0379234753
5839.5000000000,0.0381301999
5839.0000000000,0.0374070313
5838.5000000000,0.0381818941
5838.0000000000,0.0379751486
5837.5000000000,0.0378201446
5837.0000000000,0.0376135460
